Type,Domain,Name,Description,Category,Keywords,Rating,Comments,Uid,Update Frequency,Time Period,Agency,Sub-Agency,High Value Dataset,Suggested by Public,Data.gov Catalog Type,Identifier,SoQL,Key Identifier,State,Data.gov ID
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Chesapeake Bay Program Water Quality Database (Geography-and-Environment/Chesapeake-Bay-Program-Water-Quality-Database/fw52-5emx),"The Chesapeake Information Management System (CIMS), designed in 1996, is an integrated, accessible information management system for the Chesapeake Bay Region.  CIMS is an organized, distributed library of information and software tools designed to increase basin-wide public access to Chesapeake Bay information.  The information delivered by CIMS includes technical and public information, educational material, environmental indicators, policy documents, and scientific data.  Through the use of relational databases, web-based programming, and web-based GIS a large number of Internet resources have been established.  These resources include multiple distributed on-line databases, on-demand graphing and mapping of environmental data, and geographic searching tools for environmental information.  Baseline monitoring data, summarized data and environmental indicators that document ecosystem status and trends, confirm linkages between water quality, habitat quality and abundance, and the distribution and integrity of biological populations are also available.  One of the major features of the CIMS network is the Chesapeake Bay Program's Data Hub, providing users access to a suite of long- term water quality and living resources databases.  Chesapeake Bay mainstem and tidal tributary water quality, benthic macroinvertebrates, toxics, plankton, and fluorescence data can be obtained for a network of over 800 monitoring stations.",Geography and Environment,"biology, salinity, indicators, toxic, biological, science, pollution, monitor, education, nutrients, water quality data, estuary, field parameters, research, habitat, environmental, Chesapeake Bay, tributary",0,0,fw52-5emx,bi-monthly to monthly,01/25/1984 - 10/29/2009,Environmental Protection Agency,,Y,N,Raw Data Catalog,fw52-5emx,,,,1424
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Public Workforce System Dataset (PWSD) (Labor-Force-Employment-and-Earnings/Public-Workforce-System-Dataset-PWSD-/zrnt-3pme),"The PWSD is a dataset that can be used to answer questions about various public workforce system programs and how these programs fit in with the overall public workforce system and the economy.  It was designed primarily to be used as a tool to understand what has been occurring in the Wagner-Peyser program and contains data from quarter 1 of 1995 through quarter 4 of 2008.  Also, it was designed to understand the relationship and flow of participants as they go through the public workforce system.  The PWSD can be used to analyze these programs both individually and in combination.  The PWSD contains economic variables, Unemployment Insurance System data, and data on programs funded by the Workforce Investment Act and Employment Service.  Economic variables included are labor force, employment, unemployment, unemployment rate, and gross domestic product data.","Labor Force, Employment, and Earnings","workforce investment act, wagner-peyser act, unemployment compensation, public workforce system, unemployment rate, State. Quarter, exhaustees, WIA, unemployment insurance, gross domestic product, job training partnership act, financial, labor exchange, employment service",0,0,zrnt-3pme,Quarterly,1995-2008 ,Department of Labor,Employment and Training Administration,Y,N,Raw Data Catalog,zrnt-3pme,,,,1497
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Clinical Decision Support (CDS) Inventory (Science-and-Technology/Clinical-Decision-Support-CDS-Inventory/fniv-zwnb),"The Clinical Decision Support (CDS) Inventory contains descriptions of past and present CDS  projects across the Federal Government.  It includes Federal projects, contracts, and grants.  Projects described address a wide variety of  clinical conditions, delivery settings, patient populations and technical environments.",Science and Technology,"disease management, Health information technology, clinical care delivery, patient safety, community.health, clinical decision support",0,0,fniv-zwnb,one-time,2009-2010,Department of Health and Human Services,,N,N,Tool Catalog,fniv-zwnb,,,,4060
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,GSA eLibrary Schedules and Contracts (Business-Enterprise/GSA-eLibrary-Schedules-and-Contracts/c9i4-xfk8),"GSA eLibrary (formerly Schedules e-Library) is the online source for the latest contract award information for: GSA Schedules; Department of Veterans Affairs (VA) Schedules; and Technology Contracts, including Governmentwide Acquisition Contracts (GWACs), Network Services and Telecommunications Contracts, and Information Technology (IT) Schedule 70. This data contains all the current contracts under those contract vehicles and their respective schedule, special item number information.",Business Enterprise,eLibrary GSA Schedule Contract,0,0,c9i4-xfk8,Annually,The reports are generated and updated quarterly,General Services Administration,Federal Acquisition Service,Y,N,Raw Data Catalog,c9i4-xfk8,,,,4001
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Hearing Office Average Processing Time Ranking Report (Social-Insurance-and-Human-Services/Hearing-Office-Average-Processing-Time-Ranking-Rep/6cx3-ez4z),A ranking of ODAR hearing offices by the average number of days until final disposition of the hearing request. The average shown will be a combined average for all cases completed in that hearing office.  Users will be able determine where a particular hearing office stands among the total with respect to this workload category.,Social Insurance and Human Services,"hearings, ranking report, processing time, Office of Disability Adjudication and Review, hearings and appeals, hearings decisions, Social Security Administration, hearings dispositions, Social Security disability benefits, rankings, hearing offices",0,0,6cx3-ez4z,Monthly,FY 2012 beginning October 2011 Prior year(s) information is available at the following link:   http://www.socialsecurity.gov/appeals/DataSets/Archive/archive_data_reports.html,Social Security Administration,,Y,Y,Raw Data Catalog,6cx3-ez4z,,,,1429
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Workforce Investment Act (WIA) Net Impact Evaluation Dataset (Labor-Force-Employment-and-Earnings/Workforce-Investment-Act-WIA-Net-Impact-Evaluation/m6mr-quje),"The evaluation employs administrative data from 12 states, covering approximately 160,000 WIA participants and nearly 3 million comparison group members.  Focusing on participants who entered WIA programs between July 2003 and June 2005, the evaluation considers the impact for all those in the program, the impact for those receiving only Core or Intensive Services, and the incremental impact of Training Services.  This dataset contains all of the information used to conduct the non-experimental evaluation estimates for the 1) WIA Client Treatment Group and 2) The Unemployment Insurance and Employment Service Client comparison group.","Labor Force, Employment, and Earnings","workforce investment act, quasi-experimetal, matching, adult, non-experimental, intensive, WIA, exiters, public labor exchange, earnings, dislocated worker, core, employment, propensity score, training, employment service, evaluation, net-impact, wagner-payser",0,0,m6mr-quje,"Annual, quarterly",Participants who entered the Workforce Investment Act Adult or Dislocated Worker programs between July 2003 and June 2005 ,Department of Labor,Employment and Training Administration,Y,N,Raw Data Catalog,m6mr-quje,,,,1498
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Home Health Agency (HHA) Medicare Cost Report Data - FY 2008 (Health-and-Nutrition/Home-Health-Agency-HHA-Medicare-Cost-Report-Data-F/pywq-tque),A collection of HHA Medicare cost report data from the CMS Form 1728-94.,Health and Nutrition,"Days, Visits, HHA, HCRIS, Rates, Medicare Charges, Reimbursement, community.health, Medicare Costs",0,0,pywq-tque,Quarterly,2008,Department of Health and Human Services,Centers for Medicare and Medicaid Services,N,N,Raw Data Catalog,pywq-tque,,,,773
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,All Hands Television (National-Security-and-Veterans-Affairs/All-Hands-Television/2ykc-rusb),RSS feed featuring monthly video stories from around the U.S. Navy.,National Security and Veterans Affairs,"military, video, soldier, news, pentagon, storiesmonthly, podcast, Defence, USN, stories, features, sailor, service, Marine Corps, headlines, DoD, Navy, USMC, Marines, Defense",0,0,2ykc-rusb,As occurring,,Department of Defense,,N,N,Tool Catalog,2ykc-rusb,,,,519
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Tax Year 2000 SOI Exempt Organization Study (Social-Insurance-and-Human-Services/Tax-Year-2000-SOI-Exempt-Organization-Study/4p34-t2f9),Forms 990 and 990-EZ filed by IRC Section 501(c)(3)-(c)(9) organiztions for Tax Year 2000,Social Insurance and Human Services,"nonprofit, IRS, charitable, Statistics of Income, contribution, Form 990, grant, tax-exempt",0,0,4p34-t2f9,Annual,Returns filed January 2001 - December 2002,Department of the Treasury,Internal Revenue Service,N,N,Raw Data Catalog,4p34-t2f9,,,,84
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Occupational Outlook Handbook (Labor-Force-Employment-and-Earnings/Occupational-Outlook-Handbook/ggc7-nqtn),"The Occupational Outlook Handbook is a nationally recognized source of career information, designed to provide valuable assistance to individuals making decisions about their future work lives. The Handbook is revised every two years.","Labor Force, Employment, and Earnings","Occupational Outlook Handbook, community.health",0,0,ggc7-nqtn,Biennial,Various sources of data,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,ggc7-nqtn,,,,336
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,DOE Green Energy (R&D Results) Data Service (Science-and-Technology/DOE-Green-Energy-R-D-Results-Data-Service/cqfc-97vq),"Contains bibliographic data for research and development results relating to various forms of green energy, including solar, wind, tidal, bioenergy, and others, resulting from sponsored research by the Department of Energy and predecessor agencies.  Default request returns first twenty-five records.  See Technical Documentation for instructions on obtaining additional records.  This data service allows the downloading of bibliographic records in formats that can be used to load the records into other databases or search tools.  To search the DOE Green Energy Portal, use the Agency Program Page below.",Science and Technology,"sustainable energy, clean technologies, wave power, anaerobic digestion, tidal power, alternative, non-polluting, OSTI, STI, environmentally friendly, DOE, renewable energy, R$D results, geothermal, wind, hydro power, Green energy, biogas, bioenergy, hydroelectricity, solar, biomass, technical reports",0,0,cqfc-97vq,n/a,1948-present,Department of Energy,Office of Scientific and Technical Information,Y,N,Raw Data Catalog,cqfc-97vq,,,,2475
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Tax Year 1998 SOI Exempt Organization Study (Social-Insurance-and-Human-Services/Tax-Year-1998-SOI-Exempt-Organization-Study/pigw-vdcr),Forms 990 and 990-EZ filed by IRC Section 501(c)(3)-(c)(9) organiztions for Tax Year 1998,Social Insurance and Human Services,"nonprofit, IRS, charitable, Statistics of Income, contribution, Form 990, grant, tax-exempt",0,0,pigw-vdcr,Annual,Returns filed January 1999 - December 2000,Department of the Treasury,Internal Revenue Service,N,N,Raw Data Catalog,pigw-vdcr,,,,82
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,EPA FRS Facilities Combined File CSV Download for the State of Arkansas (Geography-and-Environment/EPA-FRS-Facilities-Combined-File-CSV-Download-for-/4n7q-hivu),"The Facility Registry System (FRS) identifies facilities, sites, or places subject to environmental regulation or of environmental interest to EPA programs or delegated states. Using vigorous verification and data management procedures, FRS integrates facility data from program national systems, state master facility records, tribal partners, and other federal agencies and provides the Agency with a centrally managed, single source of comprehensive and authoritative information on facilities.",Geography and Environment,"latitude, public health, organization, TRIS, STATE, NAICS, ICIS, SSTS, program system identifier, RMP, TRI, major discharger, RCRA, Transporter, longitude, environment, DUNS, federal data download, program system acronym, NCES, environmental interest type, RCRAINFO, regulated sites, national priorities list, federal datasets, AFS, SIC, NPL, AQS, CERCLIS, SQG, TSD, facilities, CAMDBS, affiliation type, facility site, Brownfields, facility registry identifier, minor discharger, Air Minor, SDWIS, ACRES, FRS, RFS, Air Major, facility, LQG, NCDB, Superfund, NEI, EPA, parent organization, program system, sites, toxic release, NPDES, FRS Data, PCS",0,0,4n7q-hivu,"Continuous, updated as facility information is updated, added and changed.",Facilities or sites currently regulated  or of interest to multiple EPA programs,Environmental Protection Agency,,N,N,Raw Data Catalog,4n7q-hivu,,,,1024
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,National Household Education Survey (Education/National-Household-Education-Survey/zb56-k7tc),"This household based survey provides descriptive data on the educational activities of the U.S. population and offers  a variety of statistics on the condition of education in the United States. The NHES surveys cover learning at all ages, from early childhood to school age through adulthood. The NHES has been conducted since 1991 and has modules covering early childhood care, parent and family involvement in education, after school program participation, school safety, library usage, adult education, school readiness and civic involvement.",Education,"school safety, parent background, adult education, school sports, NCES, student characteristics, day care, after school programs, preschool, education, school communication, library use, civic involvement, school readiness, parent involvement",0,0,zb56-k7tc,approximately every two years,current school year,Department of Education,National Center for Education Statistics,N,N,Tool Catalog,zb56-k7tc,,,,807
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Mass Layoff Statistics (Labor-Force-Employment-and-Earnings/Mass-Layoff-Statistics/yn8q-5g4s),The Mass Layoff Statistics (MLS) program collects reports on mass layoff actions that result in workers being separated from their jobs. Monthly mass layoff numbers are from establishments which have at least 50 initial claims for unemployment insurance (UI) filed against them during a 5-week period. Extended mass layoff numbers (issued quarterly) are from a subset of such establishments?where private sector nonfarm employers indicate that 50 or more workers were separated from their jobs for at least 31 days.,"Labor Force, Employment, and Earnings","Layoffs Statistics, Mass Layoffs, community.health",0,0,yn8q-5g4s,Monthly and Quarterly,Given month contains an aggregation of the weekly unemployment insurance claims filings for the Sunday through Saturday weeks in that month.,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,yn8q-5g4s,,,,333
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Tax Year 1993 SOI Exempt Organization Study (Social-Insurance-and-Human-Services/Tax-Year-1993-SOI-Exempt-Organization-Study/qsja-ynu6),Forms 990 and 990-EZ filed by IRC Section 501(c)(3)-(c)(9) organiztions for Tax Year 1993,Social Insurance and Human Services,"nonprofit, IRS, charitable, Statistics of Income, contribution, Form 990, grant, tax-exempt",0,0,qsja-ynu6,Annual,Returns filed January 1994 - December 1995,Department of the Treasury,Internal Revenue Service,N,N,Raw Data Catalog,qsja-ynu6,,,,77
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Tax Year 1996 SOI Exempt Organization Study (Social-Insurance-and-Human-Services/Tax-Year-1996-SOI-Exempt-Organization-Study/ngr4-uqtd),Forms 990 and 990-EZ filed by IRC Section 501(c)(3)-(c)(9) organiztions for Tax Year 1996,Social Insurance and Human Services,"nonprofit, IRS, charitable, Statistics of Income, contribution, Form 990, grant, tax-exempt",0,0,ngr4-uqtd,Annual,Returns filed January 1997 - December 1998,Department of the Treasury,Internal Revenue Service,N,N,Raw Data Catalog,ngr4-uqtd,,,,80
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,U.S. Passport Issuance Data (Arts-Recreation-and-Travel/U-S-Passport-Issuance-Data/pwux-k9tm),U.S. Passports Issued per Fiscal Year (2010-1996); U.S. Passports Issued per Calendar Year (1995-1974); U.S. Passport Applications Received by Fiscal Year (1986-2010); Passport Issuance by State per Fiscal Year (2007-2010),"Arts, Recreation, and Travel","passport stats, us passport stats, passports issued by state, passports issued, us passports by state, passport statistcis, us passport, u.s. passport, travel, u.s. passports by state, passport, how many u.s. passports issued in, passports by state, u.s. passport stats, u.s. passports, u.s. passport statistics, us passports issued by state, u.s. passports issued by state, how many u.s. passports issued, passports, us passports, us passport statistics",0,0,pwux-k9tm,annual,"fiscal year 2010-1986, Calendar year 1995-1974",Department of State,,N,N,Tool Catalog,pwux-k9tm,,,,4330
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Mineral Operations of Africa and the Middle East (Geography-and-Environment/Mineral-Operations-of-Africa-and-the-Middle-East/v4mt-ybu4),"Attributes of over 1,500 mineral facilities",Geography and Environment,"gold, silver, capacity, East, commodity, environment, Attributes, federal data download, mills, mineral facilities, federal datasets, international mining facility locations, facilities, mines, plants, diamonds, Africa, Middle, refineries, processing plant, mineral resources, mineral, operations",0,0,v4mt-ybu4,as needed,current as of 2006,Department of the Interior,US Geological Survey,N,N,Raw Data Catalog,v4mt-ybu4,,,,17
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,RSS Feed for Graphical Tropical Weather Outlooks (Geography-and-Environment/RSS-Feed-for-Graphical-Tropical-Weather-Outlooks/nz78-tsqa),"The National Weather Service (NWS) National Hurricane Center uses regularly updated RSS feeds to disseminate tropical weather outlooks for the North Atlantic , Caribbean Sea, Gulf of Mexico, and Eastern Pacific Oceans.",Geography and Environment,"tropical cyclone, Eastern Pacific, Gulf of Mexico, warning, hurricanes, Caribbean Sea, watch, North Atlantic, waves, forecast",0,0,nz78-tsqa,hourly,Present,Department of Commerce,National Oceanic and Atmospheric Administration,Y,N,Tool Catalog,nz78-tsqa,,,,2473
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Archival Research Catalog (ARC) Archival Descriptions (Other/Archival-Research-Catalog-ARC-Archival-Description/jud7-873g),"The Archival Research Catalog (ARC) data set provides archival descriptions of the permanent holdings of the federal government in the custody of the National Archives and Records administration. The archival descriptions include information on traditional paper holdings, logical data records (electronic records), and artifacts.",Other,"history, historical research, family history, National Archives, NARA, ARC, genealogy, research, Archival Research Catalog",0,0,jud7-873g,Annually,ca. 100 AD - Present,National Archives and Records Administration,,Y,N,Tool Catalog,jud7-873g,,,,1357
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Project GATE (Growing America Through Entrepreneurship) Final Evaluation Dataset (Labor-Force-Employment-and-Earnings/Project-GATE-Growing-America-Through-Entrepreneurs/gvzh-w766),"""Project GATE was a random-assignment demonstration project designed to help public workforce system clients create, sustain or expand their own business.  The cornerstone of the evaluation of Project GATE was random assignment.  A total of 4,198 applicants to Project GATE were randomly assigned to either the program group or the control group.  Members of the program group were offered GATE services; members of the control group were not.  This dataset is the final data from the evaluation and includes administrative data from the six and eighteen month follow-ups and survey data from the six month, eighteen month, and sixty month follow-ups of program participants.       ""","Labor Force, Employment, and Earnings","One Stop Career Centers, small business, unemployed, Small Business Administration, unemployment insurance, Small Business Development Centers, demonstration, self employment, entrepreneurship, random assignment",0,1,gvzh-w766,Data was collected at five points in time during the demonstration,January 2005 - October 2009 ,Department of Labor,Employment and Training Administration,Y,N,Raw Data Catalog,gvzh-w766,,,,1516
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Leadership PAC List (Elections/Leadership-PAC-List/nnfy-c895),"A list of political action committees identified as ""Leadership PACs"" which are established, financed, maintained or controlled by a candidate for federal office or an individual currently holding federal office.",Elections,"candidate, political action committee, campaign finance",0,0,nnfy-c895,one-time,"March 19,2009 - present",Federal Election Commission,,N,Y,Raw Data Catalog,nnfy-c895,,,,2065
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Tax Year 1997 SOI Exempt Organization Study (Social-Insurance-and-Human-Services/Tax-Year-1997-SOI-Exempt-Organization-Study/hndv-8ezk),Forms 990 and 990-EZ filed by IRC Section 501(c)(3)-(c)(9) organiztions for Tax Year 1997,Social Insurance and Human Services,"nonprofit, IRS, charitable, Statistics of Income, contribution, Form 990, grant, tax-exempt",0,0,hndv-8ezk,Annual,Returns filed January 1998 - December 1999,Department of the Treasury,Internal Revenue Service,N,N,Raw Data Catalog,hndv-8ezk,,,,81
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"Savings Bond Issues, Redemptions, and Maturities by Series (Federal-Government-Finances-and-Employment/Savings-Bond-Issues-Redemptions-and-Maturities-by-/vxc8-w9j3)","Paper Savings Bonds Issues, Redemptions, and Maturities by Series",Federal Government Finances and Employment,"savings bonds, issues, redemptions, maturities",20,0,vxc8-w9j3,Monthly,"As of September 30, 2009",Department of the Treasury,Bureau of the Public Debt,N,N,Raw Data Catalog,vxc8-w9j3,,,,958
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Tax Year 1999 SOI Exempt Organization Study (Social-Insurance-and-Human-Services/Tax-Year-1999-SOI-Exempt-Organization-Study/grbp-es2b),Forms 990 and 990-EZ filed by IRC Section 501(c)(3)-(c)(9) organiztions for Tax Year 1999,Social Insurance and Human Services,"nonprofit, IRS, charitable, Statistics of Income, contribution, Form 990, grant, tax-exempt",0,0,grbp-es2b,Annual,Returns filed January 2000 - December 2001,Department of the Treasury,Internal Revenue Service,N,N,Raw Data Catalog,grbp-es2b,,,,83
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2007 Merit Principles Survey: Performance Management Measures (Federal-Government-Finances-and-Employment/2007-Merit-Principles-Survey-Performance-Managemen/38f4-qvcx),2007 survey responses from selected Federal agencies summarizing the existence of positive performance management practices and employee engagement scores for each agency.,Federal Government Finances and Employment,"Merit Systems Protection Board, MSPB Survey, Merit Principles Survey, MSPB",0,0,38f4-qvcx,Every three years,2007,Merit Systems Protection Board,,Y,N,Raw Data Catalog,38f4-qvcx,,,,1489
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Unverifed List of Foreign Persons Red Flagged for Exporting Actions (Foreign-Commerce-and-Aid/Unverifed-List-of-Foreign-Persons-Red-Flagged-for-/kk73-as2u),"The Unverified List includes names and countries of foreign persons who in the past were parties to a transaction with respect to which BIS could not conduct a pre-license check (PLC) or a post-shipment verification (PSV) for reasons outside of the U.S. Government's control. Any transaction to which a listed person is a party will be deemed by BIS to raise a Red Flag with respect to such transaction within the meaning of the guidance set forth in Supplement No. 3 to 15 C.F.R. Part 732. The Red Flag; applies to the person on the Unverified List regardless of where the person is located in the country included on the list. This list is not meant to stand alone.  It should be used in combination with the Export Administration Regulations including the Denied Persons List (BIS), Entity List (GPO), Specially Designated Nationals List (Treasury), Debarred List (State) and Nonproliferation Sanctions List (State).",Foreign Commerce and Aid,"Department of Commerce, Denied Persons, International Trade, Encryption, Defense Trade, High Performance Computers, Export Restrictions, BIS, BXA, Defense Trade Advocacy, Export Controls, Export Licensing",0,0,kk73-as2u,As needed,Ongoing,Department of Commerce,Bureau of Industry and Security,N,N,Raw Data Catalog,kk73-as2u,,,,995
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,National Electronic Injury Surveillance System (NEISS) On-line (Health-and-Nutrition/National-Electronic-Injury-Surveillance-System-NEI/8rn4-2s9u),"CPSC's National Electronic Injury Surveillance System (NEISS) is a national probability sample of hospitals. Patient information is collected for every emergency visit involving an injury associated with a consumer product. From this sample, the total number of product-related injuries treated in hospital emergency rooms nationwide can be estimated. Estimates can be focused by setting certain variables.",Health and Nutrition,"hospital, consumer product, NEISS, injury, injury estimates, CPSC, epidemiology, safety, emergency room visits",0,0,8rn4-2s9u,On-line data are updated annually,"January 1, 1991 through December 31, 2008",US Consumer Product Safety Commission,,N,N,Tool Catalog,8rn4-2s9u,,,,605
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Hospital Medicare Cost Report Data - FY2008 (Health-and-Nutrition/Hospital-Medicare-Cost-Report-Data-FY2008/m6if-vn8q),"A collection of Hospital Medicare cost report data from the CMS Form 2552-96, extracted from the cost reports by the fiscal intermediaries",Health and Nutrition,"DSH, IME, MEDICARE CHARGES, BALANCE SHEET, Hospital, HCRIS, FINANCIAL STATEMENT, DAYS, REIMBURSEMENT, MEDICARE COSTS, INCOME STATEMENT, GME, HOSPITAL, WAGE INDEX, community.health, BEDS, RATES, DISCHARGES",0,0,m6if-vn8q,Quarterly,2008,Department of Health and Human Services,Centers for Medicare and Medicaid Services,N,N,Raw Data Catalog,m6if-vn8q,,,,803
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"Reservoir Information Fort Loudoun Reservoir, TN (Geography-and-Environment/Reservoir-Information-Fort-Loudoun-Reservoir-TN/5tn3-vcww)",An xml raw data file of observed and predicted operating levels for Fort Loudoun reservoir (lake) in Tennessee. Levels are expressed in feet above sea level.,Geography and Environment,"Ft. Loudoun Lake, TVA Lake Levels, Lake Levels, Reservoir Levels, TVA Reservoir Levels",0,0,5tn3-vcww,Hourly,Three days,Tennessee Valley Authority,,N,N,Raw Data Catalog,5tn3-vcww,,,,1342
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2009 Code of Federal Regulations in XML (Other/2009-Code-of-Federal-Regulations-in-XML/fi2g-iy2h),"The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2007 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Reulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR",Other,"CFR, directives, Office of the Federal Register, Regulations, guidelines, Government Printing Office, regs, GPO, Code of Federal Regulations, NARA, FDsys, rule makings, National Archives and Records Administration, OFR, XML, regulation",0,0,fi2g-iy2h,Daily,2009,National Archives and Records Administration,Office of the Federal Register,Y,N,Raw Data Catalog,fi2g-iy2h,,,,1326
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2010 Census TIGER/Line Shapefiles (Geography-and-Environment/2010-Census-TIGER-Line-Shapefiles/6ycj-vuiw),"2010 extracts containing geographic and cartographic information from the Census Bureau's MAF/TIGER (Master Address File/Topologically Integrated Geographic Encoding and Referencing) database.  These files support the 2010 Census Redistricting Data (P. L. 94-171) release. The files provide the digital map base for a Geographic Information System or mapping software. All legal boundaries and names are as of January 1, 2010. The boundaries shown are for Census Bureau statistical data collection and tabulation purposes only.",Geography and Environment,"American Indian, State Legislative District--Lower Chamber, Secondary School District, State Legislative District--Upper Chamber, Urban Growth Area, Elementary School district, place, Census Tract, Blocks, county Subdivision, Voting district, County, Block Group, Subbarrio, American Indian Tribal Subdivision, Native Hawaiian Area, Congressional districts, 111th Congressional district, Alaska Ntaive Regional corporation, Unified School District, SubMinor Civil division, County and Equivalent, Alaska Native, consolidated City, State and Equivalent",0,0,6ycj-vuiw,As needed,"4/1/2010 (boundaries January 1, 2010)",Department of Commerce,US Census Bureau,Y,N,Tool Catalog,6ycj-vuiw,,,,4578
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from info.samhsa.gov"" src=""/api/domains/info.samhsa.gov/icons/smallIcon"">",Prevention and Public Health Fund Grants (http://info.samhsa.gov/Dissemination/Prevention-and-Public-Health-Fund-Grants/khmp-n2xu),A list of the prevention activities being taken by States with Prevention Public Health Fund established by the Affordable Care Act.,Dissemination,,0,0,khmp-n2xu,,,,,,,,khmp-n2xu,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,SESTAT (Science-and-Technology/SESTAT/vwwg-vzcn),"National Survey of College Graduates (NSCG), National Survey of Recent College Graduates (NSRCG), Survey of Doctorate Recipients (SDR)",Science and Technology,"master's degree, bachelor's degree, scientists and engineers, doctoral degree, doctorate, employment in science and engineering, field of degree, US science and engineering workforce, S&E",0,0,vwwg-vzcn,biennial,1993-2006,National Science Foundation,,N,N,Tool Catalog,vwwg-vzcn,,,,125
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,AvailTech (Science-and-Technology/AvailTech/642v-t4fw),"This is an easy-to-use tool that helps you find NIST innovations by browsing by application, technical field or by searching keywords or researcher name.",Science and Technology,"patent, license, technology, invention",0,0,642v-t4fw,daily,1989 to present,Department of Commerce,National Institute of Standards and Technology,N,N,Tool Catalog,642v-t4fw,,,,1189
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,NIH Exported Research Portfolio Online Reporting Tools:  Expenditures and Results (ExPORTER) (Science-and-Technology/NIH-Exported-Research-Portfolio-Online-Reporting-T/sdxk-z7sm),"Research projects funded by the National Institutes of Health (NIH), other DHHS Operating Divisions (AHRQ, CDC, FDA, HRSA, SAMHSA), and the Department of Veterans Affairs.  This is a monthly snapshot of the data publically accessible through the NIH Research Portfolio Online Reporting Tool, Expenditures and Results (RePORTER) system at http://report.nih.gov.  The RePORTER database contains information such as project title, abstract, principal investigator, funded organization, total awarded costs, categorization by area of research (NIH only), and project keywords.  Also available is information on research publications and patents that have cited support from each project.",Science and Technology,"RePORTER, prevention, grants, ExPORTER, investigator, health, SAMHSA, CDC, publication, AHRQ, disease, biomedical, intramural, VA, patent, contracts, RePORT, HRSA, research, NIH, extramural, behavioral, institution",100,0,sdxk-z7sm,Monthly,FY2005-2009,Department of Health and Human Services,National Institutes of Health,Y,N,Tool Catalog,sdxk-z7sm,,,,1563
